Zoo_ID,Type,Name,Area,AreaName
1,諮詢售票,遊客服務中心,1,臺灣動物區
1,諮詢售票,兩棲爬蟲動物館服務台,12,兩棲爬蟲動物館
1,諮詢售票,教育中心服務台,9,教育中心
1,諮詢售票,昆蟲館服務台,13,昆蟲館
1,諮詢售票,售票處,1,臺灣動物區
1,諮詢售票,售票處,7,溫帶動物區
1,諮詢售票,團體票口,1,臺灣動物區
1,諮詢售票,教育中心,9,教育中心
1,諮詢售票,遊客服務中心,1,臺灣動物區
1,諮詢售票,娃娃車／輪椅租用,1,臺灣動物區
1,諮詢售票,娃娃車租用,8,鳥園區
1,諮詢售票,參觀大貓熊館,14,新光特展館（大貓熊館）
1,諮詢售票,列車站,11,無尾熊館
1,諮詢售票,列車站,8,鳥園區
1,諮詢售票,列車站,7,溫帶動物區
1,諮詢售票,廁所,2,兒童動物區
1,諮詢售票,廁所,9,教育中心
1,諮詢售票,廁所,17,生命驛站
1,諮詢售票,廁所,13,昆蟲館
1,諮詢售票,廁所,13,昆蟲館
1,諮詢售票,廁所,3,熱帶雨林區
1,諮詢售票,廁所,9,教育中心
1,諮詢售票,廁所,11,無尾熊館
1,諮詢售票,廁所,3,熱帶雨林區
1,諮詢售票,廁所,3,熱帶雨林區
1,諮詢售票,廁所,4,沙漠動物區
1,諮詢售票,廁所,5,澳洲動物區
1,諮詢售票,廁所,6,非洲動物區
1,諮詢售票,廁所,7,溫帶動物區
1,諮詢售票,廁所,7,溫帶動物區
1,諮詢售票,廁所,10,企鵝館
1,諮詢售票,廁所,12,兩棲爬蟲動物館
1,諮詢售票,廁所,12,兩棲爬蟲動物館
1,諮詢售票,7、8月暑假夜間開放區域,2,兒童動物區
1,諮詢售票,7、8月暑假夜間開放區域,14,新光特展館（大貓熊館）
1,諮詢售票,7、8月暑假夜間開放區域,13,昆蟲館
1,諮詢售票,7、8月暑假夜間開放區域,1,臺灣動物區
1,諮詢售票,7、8月暑假夜間開放區域,9,教育中心
1,諮詢售票,7、8月暑假夜間開放區域,2,兒童動物區
1,諮詢售票,7、8月暑假夜間開放區域,11,無尾熊館
1,諮詢售票,7、8月暑假夜間開放區域,12,兩棲爬蟲動物館
1,諮詢售票,7、8月暑假夜間開放區域,11,無尾熊館
1,諮詢售票,7、8月暑假夜間開放區域,12,兩棲爬蟲動物館
1,諮詢售票,7、8月暑假夜間開放區域,12,兩棲爬蟲動物館
1,交通服務,列車總站,11,無尾熊館
1,交通服務,鳥園車站,12,兩棲爬蟲動物館
1,交通服務,鳥園車站,8,鳥園區
1,交通服務,貓纜動物園南站,7,溫帶動物區
1,交通服務,公車站,1,臺灣動物區
1,交通服務,公車站,1,臺灣動物區
1,交通服務,貓空纜車站,16,酷Cool節能屋
1,交通服務,貓空纜車站,7,溫帶動物區
1,餐飲服務,大貓熊店,14,新光特展館（大貓熊館）
1,餐飲服務,老虎店,3,熱帶雨林區
1,餐飲服務,熱雨咖啡屋,15,熱帶雨林室內館（穿山甲館）
1,餐飲服務,小貓熊店 (萊爾富),10,企鵝館
1,餐飲服務,動物園店,2,兒童動物區
1,餐飲服務,動物王國,14,新光特展館（大貓熊館）
1,餐飲服務,生物多樣性,14,新光特展館（大貓熊館）
1,餐飲服務,HIPPO SHOP,6,非洲動物區
