H_ID,Weather,Continent,Terrian
1,亞洲,沙漠氣候,低海拔
2,亞洲,草原氣候,低海拔
3,亞洲,雨林氣候,低海拔
4,亞洲,叢林氣候,低海拔
5,亞洲,熱帶/亞熱帶森林氣候,低海拔
6,亞洲,溫帶/亞寒帶森林氣候,低海拔
7,亞洲,寒帶/亞寒帶森林氣候,低海拔
8,亞洲,熱帶/亞熱帶森林氣候,中低海拔
9,亞洲,溫帶/亞寒帶森林氣候,中低海拔
10,亞洲,寒帶/亞寒帶森林氣候,中低海拔
11,亞洲,熱帶/亞熱帶森林氣候,中海拔
12,亞洲,溫帶/亞寒帶森林氣候,中海拔
13,亞洲,寒帶/亞寒帶森林氣候,中海拔
14,亞洲,熱帶/亞熱帶森林氣候,中高海拔
15,亞洲,溫帶/亞寒帶森林氣候,中高海拔
16,亞洲,寒帶/亞寒帶森林氣候,中高海拔
17,亞洲,熱帶/亞熱帶森林氣候,高海拔
18,亞洲,溫帶/亞寒帶森林氣候,高海拔
19,亞洲,寒帶/亞寒帶森林氣候,高海拔
20,非洲,沙漠氣候,低海拔
21,非洲,草原氣候,低海拔
22,非洲,雨林氣候,低海拔
23,非洲,叢林氣候,低海拔
24,非洲,熱帶/亞熱帶森林氣候,低海拔
25,非洲,溫帶森林氣候,低海拔
26,非洲,熱帶/亞熱帶森林氣候,中低海拔
27,非洲,溫帶森林氣候,中低海拔
28,非洲,熱帶/亞熱帶森林氣候,中海拔
29,非洲,溫帶森林氣候,中海拔
30,非洲,熱帶/亞熱帶森林氣候,中高海拔
31,非洲,溫帶森林氣候,中高海拔
32,非洲,熱帶/亞熱帶森林氣候,高海拔
33,非洲,溫帶森林氣候,高海拔
34,歐洲,沙漠氣候,低海拔
35,歐洲,草原氣候,低海拔
36,歐洲,雨林氣候,低海拔
37,歐洲,叢林氣候,低海拔
38,歐洲,熱帶/亞熱帶森林氣候,低海拔
39,歐洲,溫帶/亞寒帶森林氣候,低海拔
40,歐洲,寒帶/亞寒帶森林氣候,低海拔
41,歐洲,熱帶/亞熱帶森林氣候,中低海拔
42,歐洲,溫帶/亞寒帶森林氣候,中低海拔
43,歐洲,寒帶/亞寒帶森林氣候,中低海拔
44,歐洲,熱帶/亞熱帶森林氣候,中海拔
45,歐洲,溫帶/亞寒帶森林氣候,中海拔
46,歐洲,寒帶/亞寒帶森林氣候,中海拔
47,歐洲,熱帶/亞熱帶森林氣候,中高海拔
48,歐洲,溫帶/亞寒帶森林氣候,中高海拔
49,歐洲,寒帶/亞寒帶森林氣候,中高海拔
50,歐洲,熱帶/亞熱帶森林氣候,高海拔
51,歐洲,溫帶/亞寒帶森林氣候,高海拔
